Production Companies,Film Title,Filming Location,Stars,Director,Genres,URL,Release Date
Kingsmead Productions,Our Man in Havana,United Kingdom,Alec Guinness;Maureen O'Hara;Burl Ives,Carol Reed,Comedy;Crime;Drama;Thriller,https://www.imdb.com/title/tt0054152/?ref_=adv_li_tt,"December 30, 1959"
Warwick Film Productions,Fire Down Below,United Kingdom;United States,Rita Hayworth;Robert Mitchum;Jack Lemmon,Robert Parrish,Adventure;Drama;Romance,https://www.imdb.com/title/tt0050397/?ref_=adv_li_tt,"May 30, 1957"
Tempean Films,Black Tide,United Kingdom,John Ireland;Derek Bond;Leslie Dwyer,C.M. Pennington-Richards,Mystery,https://www.imdb.com/title/tt0051013/?ref_=adv_li_tt,August 1958
Insignia Films;Victor Hanbury Productions,River Beat,United Kingdom,Phyllis Kirk;John Bentley;Robert Ayres,Guy Green,Crime;Drama,https://www.imdb.com/title/tt0047421/?ref_=adv_li_tt,February 1954
Producers Associates;Amalgamated Productions,The Haunted Strangler,United Kingdom,Boris Karloff;Anthony Dawson;Derek Birch,Robert Day,Crime;Mystery;Horror,https://www.imdb.com/title/tt0051706/?ref_=adv_li_tt,"May 11, 1958"
Walt Disney Productions,The Story of Robin Hood and His Merrie Men,United Kingdom;United States,Richard Todd;Joan Rice;Peter Finch,Ken Annakin,Action;Adventure;Family,https://www.imdb.com/title/tt0045197/?ref_=adv_li_tt,"March 13, 1952"
Twentieth Century-Fox Productions,Who Goes Next,United Kingdom,Barry K. Barnes;Sophie Stewart;Jack Hawkins,Maurice Elvey,War,https://www.imdb.com/title/tt0134213/?ref_=adv_li_tt,March 1938
Ealing Studios;Michael Balcon Productions;Polyphony Digital,The Cruel Sea,United Kingdom,Jack Hawkins;Donald Sinden;John Stratton,Charles Frend,Drama;War,https://www.imdb.com/title/tt0045659/?ref_=adv_li_tt,"March 26, 1953"
Modern Screen Play,Paradise Lagoon,United Kingdom,Kenneth More;Diane Cilento;Cecil Parker,Lewis Gilbert,Adventure;Comedy;Romance,https://www.imdb.com/title/tt0050100/?ref_=adv_li_tt,"June 1, 1957"
Hammer Films,The Man Who Could Cheat Death,United Kingdom,Anton Diffring;Hazel Court;Christopher Lee,Terence Fisher,Drama;Horror;Sci-Fi,https://www.imdb.com/title/tt0053041/?ref_=adv_li_tt,"June 17, 1959"
Sumar Productions,The Man Who Never Was,United Kingdom;United States,Clifton Webb;Gloria Grahame;Robert Flemyng,Ronald Neame,Drama;War,https://www.imdb.com/title/tt0049471/?ref_=adv_li_tt,"February 14, 1956"
Twentieth Century Fox,Sink the Bismarck!,United Kingdom;United States,Kenneth More;Dana Wynter;Carl Möhner,Lewis Gilbert,Action;Drama;History;War,https://www.imdb.com/title/tt0054310/?ref_=adv_li_tt,"February 11, 1960"
Woodfall Film Productions,Look Back in Anger,United Kingdom,Richard Burton;Claire Bloom;Mary Ure,Tony Richardson,Drama,https://www.imdb.com/title/tt0051879/?ref_=adv_li_tt,"May 28, 1959"
Gainsborough Pictures,The Wicked Lady,United Kingdom,Margaret Lockwood;James Mason;Patricia Roc,Leslie Arliss,Adventure;Drama,https://www.imdb.com/title/tt0038250/?ref_=adv_li_tt,"November 15, 1945"
Gaumont British Picture Corporation,Secret Agent,United Kingdom,John Gielgud;Madeleine Carroll;Robert Young,Alfred Hitchcock,Mystery;Thriller,https://www.imdb.com/title/tt0028231/?ref_=adv_li_tt,May 1936
Allied Film Makers (AFM),The League of Gentlemen,United Kingdom,Jack Hawkins;Nigel Patrick;Roger Livesey,Basil Dearden,Comedy;Crime;Drama;Thriller,https://www.imdb.com/title/tt0052997/?ref_=adv_li_tt,"April 7, 1960"
Warwick Film Productions,Zarak,United Kingdom,Victor Mature;Michael Wilding;Anita Ekberg,Terence Young,Action;Adventure;Romance,https://www.imdb.com/title/tt0051219/?ref_=adv_li_tt,"December 12, 1956"
Two Cities Films;The London Symphony Orchestra (LSO),In Which We Serve,United Kingdom,Noël Coward;John Mills;Bernard Miles,Noël Coward;David Lean,Drama;War,https://www.imdb.com/title/tt0034891/?ref_=adv_li_tt,"September 17, 1942"
Angel Productions,Carve Her Name with Pride,United Kingdom,Virginia McKenna;Paul Scofield;Jack Warner,Lewis Gilbert,Biography;Drama;War,https://www.imdb.com/title/tt0051454/?ref_=adv_li_tt,"February 18, 1958"
J. Arthur Rank Organisation;Cineguild,Madeleine,United Kingdom,Ann Todd;Norman Wooland;Ivan Desny,David Lean,Crime;Drama;Mystery,https://www.imdb.com/title/tt0042700/?ref_=adv_li_tt,"February 16, 1950"
Hammer Films;Association of Cinema Technicians (A.C.T.),Don't Panic Chaps,United Kingdom,Dennis Price;George Cole;Thorley Walters,George Pollock,Comedy;War,https://www.imdb.com/title/tt0052750/?ref_=adv_li_tt,November 1959
Peter Rogers Productions;Beaconsfield Productions,Carry on Nurse,United Kingdom,Kenneth Williams;Hattie Jacques;Kenneth Connor,Gerald Thomas,Comedy;Romance,https://www.imdb.com/title/tt0051452/?ref_=adv_li_tt,"March 5, 1959"
Hammer Films,The Two Faces of Dr. Jekyll,United Kingdom,Paul Massie;Dawn Addams;Christopher Lee,Terence Fisher,Horror,https://www.imdb.com/title/tt0054416/?ref_=adv_li_tt,"August 18, 1960"
Transatlantic Pictures,Under Capricorn,United Kingdom,Ingrid Bergman;Joseph Cotten;Michael Wilding,Alfred Hitchcock,Crime;Drama;Romance,https://www.imdb.com/title/tt0042004/?ref_=adv_li_tt,"September 8, 1949"
Marksman Productions Ltd.;Warwick Film Productions,The Long Haul,United Kingdom;United States,Victor Mature;Diana Dors;Patrick Allen,Ken Hughes,Crime;Drama;Film-Noir;Thriller,https://www.imdb.com/title/tt0050653/?ref_=adv_li_tt,"August 27, 1957"
London Film Productions,The Fallen Idol,United Kingdom,Ralph Richardson;Michèle Morgan;Sonia Dresdel,Carol Reed,Drama;Film-Noir;Mystery;Thriller,https://www.imdb.com/title/tt0040338/?ref_=adv_li_tt,"August 31, 1948"
Individual Pictures,Green for Danger,United Kingdom,Alastair Sim;Sally Gray;Trevor Howard,Sidney Gilliat,Comedy;Crime;Mystery;Thriller,https://www.imdb.com/title/tt0038577/?ref_=adv_li_tt,"December 7, 1946"
Associated British Picture Corporation (ABPC);Kenneth Harper Production,Blonde Sinner,United Kingdom,Diana Dors;Yvonne Mitchell;Michael Craig,J. Lee Thompson,Crime;Drama,https://www.imdb.com/title/tt0049019/?ref_=adv_li_tt,"May 4, 1956"
British Lion Film Corporation;Watergate Productions Ltd.,An Inspector Calls,United Kingdom,Alastair Sim;Arthur Young;Olga Lindo,Guy Hamilton,Crime;Drama;Mystery,https://www.imdb.com/title/tt0047119/?ref_=adv_li_tt,"March 11, 1954"
Ealing Studios,Went the Day Well?,United Kingdom,Leslie Banks;C.V. France;Valerie Taylor,Alberto Cavalcanti,Thriller;War,https://www.imdb.com/title/tt0035429/?ref_=adv_li_tt,"November 1, 1942"
Hammer Films,X the Unknown,United Kingdom;United States,Dean Jagger;Edward Chapman;Leo McKern,Leslie Norman;Joseph Losey,Horror;Sci-Fi,https://www.imdb.com/title/tt0049967/?ref_=adv_li_tt,"September 21, 1956"
Nettlefold Films,Salute the Toff,United Kingdom,John Bentley;Carol Marsh;Roddy Hughes,Maclean Rogers,Crime;Drama,https://www.imdb.com/title/tt0045117/?ref_=adv_li_tt,"December 28, 1951"
Beaconsfield Productions,Please Turn Over,United Kingdom,Ted Ray;Jean Kent;Leslie Phillips,Gerald Thomas,Comedy,https://www.imdb.com/title/tt0053174/?ref_=adv_li_tt,December 1959
World Enterprises,The World of Suzie Wong,United Kingdom;United States,William Holden;Nancy Kwan;Sylvia Syms,Richard Quine,Drama;Romance,https://www.imdb.com/title/tt0054483/?ref_=adv_li_tt,"November 10, 1960"
Independent Artists,Tiger Bay,United Kingdom,Hayley Mills;Horst Buchholz;John Mills,J. Lee Thompson,Crime;Drama;Thriller,https://www.imdb.com/title/tt0053361/?ref_=adv_li_tt,March 1959
Tempean Films,Blood of the Vampire,United Kingdom,Donald Wolfit;Vincent Ball;Barbara Shelley,Henry Cass,Horror;Sci-Fi,https://www.imdb.com/title/tt0051422/?ref_=adv_li_tt,"August 8, 1958"
London Film Productions;British Lion Film Corporation;Individual Pictures,The Belles of St. Trinian's,United Kingdom,Alastair Sim;Joyce Grenfell;George Cole,Frank Launder,Comedy;Family;Romance,https://www.imdb.com/title/tt0046766/?ref_=adv_li_tt,"September 30, 1954"
Danziger Productions Ltd.,Devil Girl from Mars,United Kingdom,Hugh McDermott;Hazel Court;Peter Reynolds,David MacDonald,Horror;Sci-Fi,https://www.imdb.com/title/tt0046907/?ref_=adv_li_tt,"May 2, 1954"
Knightsbridge Films;Colin Lesslie Productions;H. M. Films,Tunes of Glory,United Kingdom,Alec Guinness;John Mills;Susannah York,Ronald Neame,Drama,https://www.imdb.com/title/tt0054412/?ref_=adv_li_tt,"September 4, 1960"
London Film Productions,The Private Life of Henry VIII,United Kingdom,Charles Laughton;Robert Donat;Franklin Dyall,Alexander Korda,Drama,https://www.imdb.com/title/tt0024473/?ref_=adv_li_tt,"August 17, 1933"
Ivan Foxwell Productions,The Colditz Story,United Kingdom,John Mills;Eric Portman;Christopher Rhodes,Guy Hamilton,Drama;History;War,https://www.imdb.com/title/tt0047945/?ref_=adv_li_tt,"January 25, 1955"
British National Films,'Pimpernel' Smith,United Kingdom,Leslie Howard;Francis L. Sullivan;Allan Jeayes,Leslie Howard,Adventure;Drama;Thriller;War,https://www.imdb.com/title/tt0034027/?ref_=adv_li_tt,"July 28, 1941"
Grandon Productions Ltd.,The Grass Is Greener,United Kingdom,Cary Grant;Deborah Kerr;Robert Mitchum,Stanley Donen,Comedy;Drama;Romance,https://www.imdb.com/title/tt0053877/?ref_=adv_li_tt,"December 23, 1960"
Summit Film Productions,The Day They Robbed the Bank of England,United Kingdom;United States,Aldo Ray;Elizabeth Sellars;Peter O'Toole,John Guillermin,Crime;Drama;Thriller,https://www.imdb.com/title/tt0053752/?ref_=adv_li_tt,"May 17, 1960"
Woodfall Film Productions,The Entertainer,United Kingdom,Laurence Olivier;Brenda de Banzie;Roger Livesey,Tony Richardson,Drama,https://www.imdb.com/title/tt0053796/?ref_=adv_li_tt,"July 18, 1960"
London Film Productions,The Four Feathers,United Kingdom,John Clements;Ralph Richardson;C. Aubrey Smith,Zoltan Korda,Adventure;Drama;Romance;War,https://www.imdb.com/title/tt0031334/?ref_=adv_li_tt,"April 18, 1939"
London Film Productions;Wessex Film Productions,Three Cases of Murder,United Kingdom;United States,Orson Welles;John Gregson;Elizabeth Sellars,David Eady;George More O'Ferrall;Wendy Toye,Crime;Drama;Fantasy;Horror;Mystery,https://www.imdb.com/title/tt0047579/?ref_=adv_li_tt,"December 3, 1954"
Knightsbridge Films,The Horse's Mouth,United Kingdom,Alec Guinness;Kay Walsh;Renee Houston,Ronald Neame,Comedy,https://www.imdb.com/title/tt0051739/?ref_=adv_li_tt,"September 7, 1958"
Gainsborough Pictures,So Long at the Fair,United Kingdom,Jean Simmons;Dirk Bogarde;David Tomlinson,Antony Darnborough;Terence Fisher,Drama;Mystery,https://www.imdb.com/title/tt0042980/?ref_=adv_li_tt,"May 31, 1950"
Ealing Studios,Dunkirk,United Kingdom,John Mills;Richard Attenborough;Bernard Lee,Leslie Norman,Action;Drama;History;War,https://www.imdb.com/title/tt0051565/?ref_=adv_li_tt,"March 20, 1958"
Walt Disney Productions,Third Man on the Mountain,United States;United Kingdom,Michael Rennie;James MacArthur;Janet Munro,Ken Annakin,Adventure;Drama;Family,https://www.imdb.com/title/tt0053352/?ref_=adv_li_tt,"November 10, 1959"
Willoughby Film Productions,Wild for Kicks,United Kingdom,David Farrar;Noëlle Adam;Christopher Lee,Edmond T. Gréville,Drama,https://www.imdb.com/title/tt0055779/?ref_=adv_li_tt,"August 21, 1960"
Tudor Productions;Charter Film Productions;British Lion Films,Brothers in Law,United Kingdom,Henry B. Longhurst;Edith Sharpe;Ian Carmichael,Roy Boulting,Comedy,https://www.imdb.com/title/tt0050214/?ref_=adv_li_tt,"February 28, 1957"
Two Cities Films,The Way Ahead,United Kingdom,David Niven;Stanley Holloway;James Donald,Carol Reed,Drama;War,https://www.imdb.com/title/tt0037449/?ref_=adv_li_tt,"June 6, 1944"
Peter Rogers Productions,Carry on Sergeant,United Kingdom,Kenneth Williams;Charles Hawtrey;William Hartnell,Gerald Thomas,Comedy;War,https://www.imdb.com/title/tt0051453/?ref_=adv_li_tt,"August 31, 1958"
Ealing Studios,It Always Rains on Sunday,United Kingdom,Googie Withers;Jack Warner;John McCallum,Robert Hamer,Crime;Drama;Romance,https://www.imdb.com/title/tt0040481/?ref_=adv_li_tt,"November 27, 1947"
Hal Wallis Productions,So Evil My Love,United States;United Kingdom,Ray Milland;Ann Todd;Geraldine Fitzgerald,Lewis Allen,Crime;Drama,https://www.imdb.com/title/tt0040809/?ref_=adv_li_tt,"March 3, 1948"
Triad Productions,The Flesh and the Fiends,United Kingdom,Peter Cushing;June Laverick;Donald Pleasence,John Gilling,Crime;Drama;Thriller,https://www.imdb.com/title/tt0052811/?ref_=adv_li_tt,"February 2, 1960"
London Film Productions;Metro-Goldwyn-Mayer British Studios,Vacation from Marriage,United Kingdom,Robert Donat;Deborah Kerr;Glynis Johns,Alexander Korda,Drama;Romance,https://www.imdb.com/title/tt0037980/?ref_=adv_li_tt,"August 30, 1945"
Twentieth Century-Fox Productions,Night Train to Munich,United Kingdom,Margaret Lockwood;Rex Harrison;Paul Henreid,Carol Reed,Drama;Romance;Thriller;War,https://www.imdb.com/title/tt0032842/?ref_=adv_li_tt,"July 26, 1940"
Amalgamated Productions,First Man Into Space,United Kingdom,Marshall Thompson;Marla Landi;Bill Edwards,Robert Day,Drama;Horror;Sci-Fi,https://www.imdb.com/title/tt0052805/?ref_=adv_li_tt,February 1959
Hammer Films;Lippert Films,The Unholy Four,United Kingdom;United States,Paulette Goddard;William Sylvester;Patrick Holt,Terence Fisher,Drama;Mystery,https://www.imdb.com/title/tt0047634/?ref_=adv_li_tt,"August 9, 1954"
Sirius Productions,Genevieve,United Kingdom,Dinah Sheridan;John Gregson;Kay Kendall,Henry Cornelius,Comedy,https://www.imdb.com/title/tt0045808/?ref_=adv_li_tt,"April 19, 1953"
The Archers;Independent Producers,A Canterbury Tale,United Kingdom,Eric Portman;Sheila Sim;Dennis Price,Michael Powell;Emeric Pressburger,Comedy;Drama;Mystery;War,https://www.imdb.com/title/tt0036695/?ref_=adv_li_tt,"May 11, 1944"
Artna Films Ltd.,Sapphire,United Kingdom,Nigel Patrick;Yvonne Mitchell;Michael Craig,Basil Dearden,Crime;Drama;Mystery;Thriller,https://www.imdb.com/title/tt0053242/?ref_=adv_li_tt,"April 21, 1959"
The Rank Organisation;Marcel Hellman Productions,North West Frontier,United Kingdom,Kenneth More;Lauren Bacall;Herbert Lom,J. Lee Thompson,Adventure;Drama,https://www.imdb.com/title/tt0053126/?ref_=adv_li_tt,"October 6, 1959"
London Film Productions,Knight Without Armor,United Kingdom,Marlene Dietrich;Robert Donat;Irene Vanbrugh,Jacques Feyder,Adventure;Drama;History;Romance;Thriller,https://www.imdb.com/title/tt0029087/?ref_=adv_li_tt,"June 1, 1937"
The Archers,Pursuit of the Graf Spee,United Kingdom,John Gregson;Anthony Quayle;Peter Finch,Michael Powell;Emeric Pressburger,Action;Adventure;Drama;History;War,https://www.imdb.com/title/tt0048990/?ref_=adv_li_tt,"October 29, 1956"
The Archers;London Film Productions,Hour of Glory,United Kingdom,David Farrar;Jack Hawkins;Kathleen Byron,Michael Powell;Emeric Pressburger,Drama;Romance;Thriller;War,https://www.imdb.com/title/tt0041886/?ref_=adv_li_tt,"January 21, 1949"
Facet Productions,The Detective,United Kingdom,Alec Guinness;Joan Greenwood;Peter Finch,Robert Hamer,Comedy;Crime;Drama;Mystery,https://www.imdb.com/title/tt0046970/?ref_=adv_li_tt,"June 8, 1954"
Rich & Rich Ltd.;Princess Pictures,The Venusian,United Kingdom;United States,Patricia Neal;Helmut Dantine;Derek Bond,Burt Balaban,Sci-Fi,https://www.imdb.com/title/tt0047529/?ref_=adv_li_tt,"August 23, 1954"
Julius Hagen Productions,Broken Blossoms,United Kingdom,Dolly Haas;Emlyn Williams;Arthur Margetson,John Brahm,Drama,https://www.imdb.com/title/tt0027400/?ref_=adv_li_tt,"May 20, 1936"
British Film-Makers;A Ronald Neame Production,The Promoter,United Kingdom,Alec Guinness;Glynis Johns;Valerie Hobson,Ronald Neame,Comedy,https://www.imdb.com/title/tt0045056/?ref_=adv_li_tt,"February 25, 1952"
Julius Hagen Productions,Beauty and the Barge,United Kingdom,Gordon Harker;Judy Gunn;Jack Hawkins,Henry Edwards,Comedy,https://www.imdb.com/title/tt0028615/?ref_=adv_li_tt,"February 9, 1937"
Ealing Studios;Michael Balcon Productions,Crash of Silence,United Kingdom,Phyllis Calvert;Jack Hawkins;Terence Morgan,Alexander Mackendrick,Drama,https://www.imdb.com/title/tt0045654/?ref_=adv_li_tt,"July 31, 1952"
Mid Century Film Productions,Jack the Ripper,United Kingdom,Lee Patterson;Eddie Byrne;Betty McDowall,Robert S. Baker;Monty Berman,Crime;Drama;History;Mystery;Thriller,https://www.imdb.com/title/tt0053961/?ref_=adv_li_tt,"May 28, 1959"
Twentieth Century-Fox Productions;Twentieth Century-Fox Productions,The Black Rose,United Kingdom,Tyrone Power;Orson Welles;Cécile Aubry,Henry Hathaway,Adventure;History;Romance;War,https://www.imdb.com/title/tt0042256/?ref_=adv_li_tt,"September 1, 1950"
Walt Disney Productions,The Sword and the Rose,United Kingdom;United States,Richard Todd;Glynis Johns;James Robertson Justice,Ken Annakin,Adventure;Drama;Family;History,https://www.imdb.com/title/tt0046387/?ref_=adv_li_tt,"July 23, 1953"
Cineguild;Independent Producers,Blanche Fury,United Kingdom,Stewart Granger;Valerie Hobson;Walter Fitzgerald,Marc Allégret,Crime;Drama;Mystery;Romance,https://www.imdb.com/title/tt0039195/?ref_=adv_li_tt,"February 18, 1948"
Charter Film Productions;Boulting Brothers,I'm All Right Jack,United Kingdom,Ian Carmichael;Terry-Thomas;Peter Sellers,John Boulting,Comedy,https://www.imdb.com/title/tt0052911/?ref_=adv_li_tt,"August 13, 1959"
Romulus Films,The Story of Esther Costello,United Kingdom,Joan Crawford;Heather Sears;Rossano Brazzi,David Miller,Drama,https://www.imdb.com/title/tt0051015/?ref_=adv_li_tt,"August 15, 1957"
Hammer Films,The Snorkel,United Kingdom,Peter van Eyck;Betta St. John;Mandy Miller,Guy Green,Crime;Horror;Mystery;Thriller,https://www.imdb.com/title/tt0052207/?ref_=adv_li_tt,"June 18, 1958"
Amalgamated Productions;Producers Associates,Corridors of Blood,United Kingdom,Boris Karloff;Betta St. John;Christopher Lee,Robert Day,Crime;Horror;Thriller,https://www.imdb.com/title/tt0051542/?ref_=adv_li_tt,December 1958
Angel Productions;Apollo,The Sea Shall Not Have Them,United Kingdom,Michael Redgrave;Dirk Bogarde;Bonar Colleano,Lewis Gilbert,Drama;War,https://www.imdb.com/title/tt0047463/?ref_=adv_li_tt,"November 30, 1954"
London Film Productions,"Cry, the Beloved Country",United Kingdom,Canada Lee;Sidney Poitier;Charles Carson,Zoltan Korda,Drama,https://www.imdb.com/title/tt0043436/?ref_=adv_li_tt,"November 15, 1951"
Group Film Productions Limited,Doctor in the House,United Kingdom,Dirk Bogarde;Muriel Pavlow;Kenneth More,Ralph Thomas,Comedy,https://www.imdb.com/title/tt0046921/?ref_=adv_li_tt,"March 23, 1954"
British International Pictures (BIP),Murder!,United Kingdom,Herbert Marshall;Norah Baring;Phyllis Konstam,Alfred Hitchcock,Crime;Mystery;Thriller,https://www.imdb.com/title/tt0021165/?ref_=adv_li_tt,"July 31, 1930"
Columbia Pictures Corporation;Sabre Film Production,The Two-Headed Spy,United Kingdom;United States,Jack Hawkins;Gia Scala;Erik Schumann,André De Toth,Drama;Thriller;War,https://www.imdb.com/title/tt0052327/?ref_=adv_li_tt,"November 17, 1958"
George King Productions,Under a Cloud,United Kingdom,Edward Rigby;Betty Ann Davies;Hilda Bayley,George King,Crime,https://www.imdb.com/title/tt0166004/?ref_=adv_li_tt,August 1937
Merton Park Studios,The Brain Machine,United Kingdom,Patrick Barr;Elizabeth Allan;Maxwell Reed,Ken Hughes,Crime;Sci-Fi;Thriller,https://www.imdb.com/title/tt0049028/?ref_=adv_li_tt,January 1955
